Date,Views
20170722,15
20170723,20
20170724,6
20170725,12
20170726,16
20170727,25
20170728,21
20170729,12
20170730,15
20170731,21
20170801,23
20170802,21
20170803,20
20170804,37
20170805,31
20170806,23
20170807,39
20170808,36
20170809,35
20170810,45
20170811,57
20170812,32
20170813,68
20170814,79
20170815,103
20170816,77
20170817,153
20170818,489
20170819,399
20170820,276
20170821,1176
20170822,427
20170823,129
20170824,80
20170825,47
20170826,37
20170827,36
20170828,37
20170829,16
20170830,16
20170831,22
20170901,19
20170902,22
20170903,8
20170904,10
20170905,21
20170906,10
20170907,17
20170908,16
20170909,14
20170910,9
20170911,5
20170912,13
20170913,12
20170914,15
20170915,14
20170916,78
20170917,71
20170918,173
20170919,200
20170920,232
