Date,Views
20170722,148
20170723,195
20170724,231
20170725,195
20170726,213
20170727,224
20170728,207
20170729,197
20170730,202
20170731,349
20170801,320
20170802,249
20170803,286
20170804,214
20170805,180
20170806,242
20170807,249
20170808,269
20170809,289
20170810,278
20170811,240
20170812,209
20170813,242
20170814,291
20170815,334
20170816,372
20170817,420
20170818,589
20170819,521
20170820,713
20170821,2449
20170822,1457
20170823,680
20170824,468
20170825,380
20170826,265
20170827,229
20170828,1401
20170829,457
20170830,294
20170831,212
20170901,228
20170902,179
20170903,178
20170904,220
20170905,277
20170906,306
20170907,393
20170908,328
20170909,210
20170910,199
20170911,253
20170912,313
20170913,290
20170914,321
20170915,225
20170916,172
20170917,206
20170918,305
20170919,330
20170920,244
