Date,Views
20170722,56
20170723,62
20170724,75
20170725,63
20170726,54
20170727,66
20170728,38
20170729,44
20170730,43
20170731,48
20170801,59
20170802,50
20170803,47
20170804,42
20170805,49
20170806,52
20170807,57
20170808,66
20170809,49
20170810,60
20170811,49
20170812,50
20170813,203
20170814,91
20170815,71
20170816,43
20170817,57
20170818,47
20170819,49
20170820,50
20170821,58
20170822,81
20170823,49
20170824,74
20170825,91
20170826,35
20170827,79
20170828,62
20170829,63
20170830,57
20170831,569
20170901,115
20170902,56
20170903,44
20170904,70
20170905,120
20170906,73
20170907,72
20170908,136
20170909,89
20170910,61
20170911,95
20170912,63
20170913,58
20170914,51
20170915,57
20170916,41
20170917,46
20170918,59
20170919,89
20170920,127
