Date,Views
20170722,1
20170723,4
20170724,11
20170725,6
20170726,7
20170727,11
20170728,7
20170729,5
20170730,5
20170731,8
20170801,12
20170802,8
20170803,7
20170804,6
20170805,6
20170806,17
20170807,16
20170808,12
20170809,12
20170810,25
20170811,6
20170812,9
20170813,17
20170814,22
20170815,21
20170816,31
20170817,28
20170818,39
20170819,61
20170820,33
20170821,217
20170822,106
20170823,31
20170824,35
20170825,25
20170826,21
20170827,18
20170828,13
20170829,17
20170830,6
20170831,8
20170901,9
20170902,7
20170903,8
20170904,11
20170905,7
20170906,4
20170907,11
20170908,13
20170909,9
20170910,6
20170911,2
20170912,8
20170913,8
20170914,5
20170915,6
20170916,4
20170917,5
20170918,7
20170919,3
20170920,7
