Date,Views
20170722,103
20170723,98
20170724,104
20170725,110
20170726,93
20170727,119
20170728,81
20170729,96
20170730,94
20170731,140
20170801,206
20170802,200
20170803,165
20170804,152
20170805,123
20170806,196
20170807,265
20170808,296
20170809,276
20170810,282
20170811,307
20170812,227
20170813,264
20170814,439
20170815,1152
20170816,1573
20170817,2098
20170818,3051
20170819,3194
20170820,4293
20170821,17958
20170822,4508
20170823,965
20170824,466
20170825,387
20170826,208
20170827,162
20170828,133
20170829,98
20170830,80
20170831,49
20170901,54
20170902,53
20170903,48
20170904,50
20170905,22
20170906,52
20170907,24
20170908,34
20170909,31
20170910,28
20170911,25
20170912,22
20170913,22
20170914,17
20170915,22
20170916,23
20170917,19
20170918,29
20170919,22
20170920,13
