Date,Views
20170722,134
20170723,137
20170724,150
20170725,103
20170726,117
20170727,138
20170728,126
20170729,130
20170730,144
20170731,131
20170801,174
20170802,209
20170803,261
20170804,207
20170805,267
20170806,336
20170807,328
20170808,388
20170809,329
20170810,391
20170811,418
20170812,426
20170813,552
20170814,680
20170815,734
20170816,730
20170817,964
20170818,1471
20170819,1624
20170820,2365
20170821,9791
20170822,3516
20170823,943
20170824,505
20170825,297
20170826,201
20170827,205
20170828,115
20170829,97
20170830,82
20170831,68
20170901,60
20170902,49
20170903,51
20170904,48
20170905,33
20170906,32
20170907,52
20170908,42
20170909,32
20170910,36
20170911,22
20170912,35
20170913,24
20170914,29
20170915,29
20170916,25
20170917,23
20170918,30
20170919,20
20170920,29
