Date,Views
20170722,15
20170723,16
20170724,16
20170725,17
20170726,19
20170727,26
20170728,16
20170729,18
20170730,24
20170731,27
20170801,30
20170802,45
20170803,22
20170804,26
20170805,21
20170806,24
20170807,55
20170808,44
20170809,42
20170810,48
20170811,48
20170812,37
20170813,54
20170814,68
20170815,115
20170816,123
20170817,174
20170818,274
20170819,202
20170820,333
20170821,1861
20170822,547
20170823,148
20170824,99
20170825,38
20170826,53
20170827,44
20170828,35
20170829,21
20170830,22
20170831,23
20170901,43
20170902,25
20170903,22
20170904,11
20170905,12
20170906,16
20170907,13
20170908,8
20170909,16
20170910,6
20170911,12
20170912,10
20170913,13
20170914,5
20170915,10
20170916,3
20170917,8
20170918,6
20170919,9
20170920,3
