File,Percent Increase
Laker Girls,124.56
"Corona del Mar, Newport Beach",1125.51
List of Los Angeles Lakers head coaches,2056.79
Marc Stein (reporter),100.65
1996–97 Utah Jazz season,293.49
2003–04 Los Angeles Lakers season,1558.33
1985 NBA Finals,65.49
1990 NBA Finals,0
BET Award for Sportsman of the Year,354.05
Elgin Baylor,320.78
Jared Jeffries,-100.0
Ron Mercer,106.14
2014–15 New Orleans Pelicans season,84.21
2007–08 Utah Jazz season,109.0
List of NBA players who have spent their entire career with one franchise,858.7
Brent Barry,244.11
Peja Stojaković,250.3
Jerry Colangelo,408.11
Clyde Drexler,99.07
List of career achievements by Kobe Bryant,12346.31
Othella Harrington,0
Federal Aviation Administration,241.59
Chamique Holdsclaw,202.14
Robert Parish,211.86
Geno Auriemma,271.66
It Was a Good Day,79.72
Rapping,0
Gatorade Player of the Year awards,21.11
Joel Embiid,201.43
Minneapolis Auditorium,146.51
LaVell Blanchard,64.21
2009–10 Minnesota Timberwolves season,135.0
John Havlicek,209.2
Chubby Cox,39056.86
ESPN,-100.0
Bill Russell NBA Finals Most Valuable Player Award,779.08
Spike Lee,374.56
1972 NBA Finals,301.54
Dave DeBusschere,104.51
Adrian Smith (basketball),442.2
Washington Wizards,101.17
Triangle offense,638.16
Pete Maravich,163.1
NBA 2K17,1062.22
Corliss Williamson,100.0
Jerome Williams (basketball),274.4
Mac McClung,576.06
2013–14 Los Angeles Lakers season,1206.85
South Bay Lakers,113.47
Paul Pierce,276.68
List of National Basketball Association career scoring leaders,1726.78
Oscar Robertson,180.71
Jerry Lucas,171.3
2006–07 NBA season,173.18
FIBA Americas Championship,1852.73
Erin Boley,420.0
Jan Volk,-7.41
Flagrant foul,137.12
1996 NBA draft,4308.03
Jeanie Buss,2610.42
Brandy Norwood,482.32
2012 NBA All-Star Game,0
Scottie Pippen,245.99
Darvin Ham,160.82
Philadelphia,40.32
Larry Nance,349.67
Hamidou Diallo,519.06
Seattle SuperSonics,28.3
Glenn Robinson III,586.38
1982 NBA Finals,61.22
Harold Miner,0
Pacific Standard Time,5510.57
Reuters,35.71
2009–10 Oklahoma City Thunder season,143.62
Ryan Minor,0
Rick Barry,115.61
Allen Iverson,503.95
Cade Cunningham,205.52
Nate Robinson,378.0
2000 NBA playoffs,474.09
Bill Plaschke,1041.18
Lenny Wilkens,123.78
"Huntington Beach, California",66.31
Earl Monroe,58.29
Al Harrington,80.34
Samardo Samuels,-100.0
Ralph Sampson,91.46
Bala Cynwyd Junior High School Complex,339.13
Naismith Prep Player of the Year Award,1570.55
Walt Frazier,78.79
Elvin Hayes,254.53
Jason Richardson,301.38
It's So Hard to Say Goodbye to Yesterday,1745.64
Zach Braff,223.94
Los Angeles Times,60.42
National Museum of African American History and Culture,27.55
TNT (American TV network),97.11
Los Angeles Lakers,1036.63
NBA Most Valuable Player,2971.71
Free throw,78.9
Eddie Jones (basketball),1443.71
Brianna Turner,70.75
Phil Jackson,1177.61
Yahoo,32.06
Michigan Wolverines men's basketball,90.99
HighBeam,159.26
ESPN+,157.75
Antoine Walker,237.66
ESPN.com,139.92
Skylar Diggins-Smith,1293.68
Felipe López (basketball),4.15
AC Milan,460.54
Larry Bird,283.48
NBA All-Star Game Most Valuable Player Award,0
Kobe Bryant in NBA Courtside,9618.87
Black mamba,1367.14
2001–02 New Jersey Nets season,341.98
NBA Finals,497.05
Russell Wilson,785.63
All-NBA Team,448.49
Carmelo Anthony,136.92
LeBron James,702.85
Andre Iguodala,1501.93
"Fillmore, California",90.32
Shannon Brown,234.7
2008–09 New York Knicks season,134.15
Rudy Tomjanovich,253.73
Derrick Favors,286.55
Gerald Wallace,28.42
Celtics–Lakers rivalry,510.83
Amazing Grace,57.09
Desmond Mason,367.41
Paulo Coelho,240.67
Paul Arizin,138.73
Steve Hamer,121.0
Annie Award for Best Animated Short Subject,306.06
2005–06 Miami Heat season,406.69
Donovan Mitchell,279.6
Cliff Alexander,40.03
North Carolina Tar Heels men's basketball,121.47
NBA Slam Dunk Contest,1771.9
Anfernee Simons,-100.0
George Yardley,194.3
Bob Pettit,680.37
2004–05 Los Angeles Lakers season,1388.52
NBA 2K10,1913.46
Human Rights Campaign,86.97
Adidas,97.47
Darnell Robinson,407.8
Lawsuit,27.86
"Mike Brown (basketball, born 1970)",253.62
Jahlil Okafor,121.48
The Baltimore Sun,56.87
TD Garden,51.82
See You Again,329.72
2014–15 Los Angeles Lakers season,1135.49
Michael Porter Jr.,732.03
Abby Waner,7.69
Deadline Hollywood,117.98
Showtime (TV network),-100.0
Andrew Wiggins,2495.73
2001–02 Portland Trail Blazers season,147.87
LaBradford Smith,0
Kim Mulkey,0
Hook (music),154.11
2000–01 Sacramento Kings season,217.69
Julius Erving,295.81
2001–02 San Antonio Spurs season,153.06
Patrick Soon-Shiong,46.6
San Francisco Chronicle,56.42
George Gervin,78.47
Terrence Ross,142.58
1969 NBA Finals,617.74
Harrison Barnes,197.32
Forbes,34.94
2004 NBA playoffs,287.21
Mitch Richmond,133.98
Sharife Cooper,315.51
Brian Evans (basketball),300.93
Dwyane Wade,828.45
Gail Goodrich,57.44
2007–08 NBA season,294.25
Dave Bing,78.21
2009–10 Phoenix Suns season,235.74
Connecticut Huskies women's basketball,198.62
Leon Douglas,0
Bob Cousy,342.17
The New Yorker,43.19
2010 NBA playoffs,392.41
Underground hip hop,58.62
Tyson Chandler,535.31
International Business Times,86.6
Michael Jordan,734.52
Russell Corporation,1215.07
Randy Smith (basketball),256.47
Contemporary R&B,18.13
Zydrunas Ilgauskas,234.29
Bradley Beal,0
List of Los Angeles Lakers broadcasters,592.0
Obi Toppin,0
Brazilians,3.19
Slava Medvedenko,310.0
Vitaly Potapenko,896.53
United States,26.69
2000 United States men's Olympic basketball team,846.39
Rob Pelinka,3727.81
Bennie Adams,3924.49
2015–16 Indiana Pacers season,0
John Celestand,1191.14
Manu Ginóbili,134.91
Venture capital,22.61
1998 NBA All-Star Game,1006.38
2007 FIBA Americas Championship,3873.91
List of people from Philadelphia,212.7
2001–02 NBA season,322.98
Kurt Rambis,0
"Ron Riley (basketball, born 1973)",669.23
NBA All-Defensive Team,614.73
Glen Rice,223.15
Tony Parker,143.19
2003–04 Portland Trail Blazers season,283.08
Todd Fuller,1423.12
2004–05 NBA season,224.78
McDonald's,25.13
Fall-away (basketball),9657.69
Giannis Antetokounmpo,334.86
Forbes' list of the world's highest-paid athletes,80.87
Kyle Korver,83.33
"Mike Miller (basketball, born 1980)",223.62
Adrian Dantley,140.42
List of National Basketball Association single-season scoring leaders,357.52
2001–02 Indiana Pacers season,141.03
Wayback Machine,-100.0
Kawhi Leonard,422.82
1995 NBA draft,429.76
Naismith Memorial Basketball Hall of Fame,722.06
Reggie Miller,220.63
2009–10 Miami Heat season,120.74
2006 NBA All-Star Game,656.72
Wilt Chamberlain's 100-point game,1594.3
John Salley,214.42
Maya Moore,1063.57
Raymond Felton,56.51
Wes Unseld,251.81
"Marina High School (Huntington Beach, California)",0
2012–13 Golden State Warriors season,81.39
1996–97 NBA season,709.86
Slam Dunk Contest,0
1998–99 Los Angeles Lakers season,1993.33
Vanessa Bryant,22667.65
Jay Chou,134.67
Shane Battier,341.32
Kobe Bryant sexual assault case,89559.35
Spud Webb,274.48
2016 NBA All-Star Game,946.41
Basketball at the Summer Olympics,413.66
List of National Basketball Association seasons played leaders,576.97
2000 NBA All-Star Game,0
National Basketball Association All-Star Game,376.83
McDonald's All-American,1452.58
Destiny's Child,61.65
List of Olympic medalists in basketball,557.62
Baron Davis,104.63
John Wall,0
George McCloud,0
Kobe Doin' Work,9964.75
Sic,127.9
Rotator cuff tear,7.9
Arash Markazi,276.83
McDonald's All-American Game,199.27
