Date,Views
20160706,105
20160707,97
20160708,101
20160709,109
20160710,103
20160711,205
20160712,149
20160713,128
20160714,144
20160715,95
20160716,101
20160717,113
20160718,177
20160719,135
20160720,124
20160721,106
20160722,110
20160723,135
20160724,141
20160725,160
20160726,168
20160727,146
20160728,122
20160729,163
20160730,172
20160731,172
20160801,195
20160802,253
20160803,351
20160804,266
20160805,416
20160806,1051
20160807,698
20160808,789
20160809,715
20160810,635
20160811,560
20160812,604
20160813,588
20160814,693
20160815,658
20160816,512
20160817,487
20160818,464
20160819,453
20160820,496
20160821,626
20160822,919
20160823,384
20160824,280
20160825,338
20160826,222
20160827,302
20160828,271
20160829,266
20160830,218
20160831,231
20160901,167
20160902,144
20160903,148
20160904,215
