Date,Views
20160706,3489
20160707,3189
20160708,3188
20160709,2452
20160710,2169
20160711,3121
20160712,3690
20160713,3406
20160714,4049
20160715,2951
20160716,2167
20160717,2016
20160718,3342
20160719,3378
20160720,3274
20160721,3255
20160722,3062
20160723,2112
20160724,2045
20160725,3399
20160726,4123
20160727,4189
20160728,3384
20160729,3076
20160730,2662
20160731,2175
20160801,3379
20160802,3692
20160803,3831
20160804,3164
20160805,3392
20160806,2590
20160807,2486
20160808,3355
20160809,3558
20160810,3150
20160811,3416
20160812,3011
20160813,2209
20160814,2238
20160815,3137
20160816,3375
20160817,3119
20160818,3276
20160819,2645
20160820,2430
20160821,2355
20160822,3119
20160823,3359
20160824,3402
20160825,3429
20160826,2926
20160827,1919
20160828,2298
20160829,3219
20160830,3322
20160831,3345
20160901,3410
20160902,2994
20160903,2244
20160904,1979
