Date,Views
20160706,397
20160707,874
20160708,330
20160709,308
20160710,300
20160711,425
20160712,373
20160713,288
20160714,286
20160715,292
20160716,286
20160717,275
20160718,334
20160719,281
20160720,488
20160721,372
20160722,366
20160723,270
20160724,299
20160725,422
20160726,358
20160727,379
20160728,469
20160729,395
20160730,457
20160731,412
20160801,500
20160802,1139
20160803,487
20160804,1005
20160805,769
20160806,1639
20160807,1480
20160808,1603
20160809,1513
20160810,1310
20160811,1112
20160812,903
20160813,402
20160814,277
20160815,216
20160816,224
20160817,200
20160818,188
20160819,170
20160820,198
20160821,168
20160822,190
20160823,144
20160824,116
20160825,85
20160826,107
20160827,68
20160828,96
20160829,63
20160830,42
20160831,52
20160901,41
20160902,26
20160903,52
20160904,44
