Date,Views
20160706,85
20160707,79
20160708,85
20160709,78
20160710,84
20160711,116
20160712,115
20160713,100
20160714,93
20160715,90
20160716,93
20160717,84
20160718,150
20160719,123
20160720,113
20160721,131
20160722,122
20160723,91
20160724,171
20160725,153
20160726,176
20160727,165
20160728,148
20160729,156
20160730,167
20160731,169
20160801,220
20160802,218
20160803,337
20160804,397
20160805,596
20160806,1061
20160807,688
20160808,653
20160809,615
20160810,572
20160811,515
20160812,498
20160813,381
20160814,450
20160815,441
20160816,393
20160817,365
20160818,391
20160819,396
20160820,385
20160821,464
20160822,699
20160823,372
20160824,249
20160825,257
20160826,284
20160827,145
20160828,163
20160829,174
20160830,172
20160831,119
20160901,107
20160902,84
20160903,72
20160904,102
