Date,Views
20160706,77
20160707,77
20160708,97
20160709,106
20160710,113
20160711,151
20160712,116
20160713,131
20160714,95
20160715,107
20160716,80
20160717,107
20160718,122
20160719,97
20160720,72
20160721,97
20160722,85
20160723,91
20160724,99
20160725,139
20160726,117
20160727,123
20160728,95
20160729,114
20160730,115
20160731,117
20160801,151
20160802,135
20160803,110
20160804,132
20160805,241
20160806,212
20160807,256
20160808,320
20160809,290
20160810,293
20160811,241
20160812,197
20160813,254
20160814,1025
20160815,985
20160816,666
20160817,335
20160818,450
20160819,650
20160820,341
20160821,208
20160822,170
20160823,128
20160824,88
20160825,79
20160826,86
20160827,57
20160828,38
20160829,47
20160830,33
20160831,37
20160901,30
20160902,34
20160903,19
20160904,23
