Date,Views
20180515,315
20180516,349
20180517,285
20180518,273
20180519,237
20180520,302
20180521,290
20180522,296
20180523,302
20180524,310
20180525,292
20180526,271
20180527,283
20180528,323
20180529,309
20180530,369
20180531,288
20180601,306
20180602,229
20180603,322
20180604,361
20180605,338
20180606,351
20180607,312
20180608,288
20180609,277
20180610,343
20180611,384
20180612,379
20180613,466
20180614,653
20180615,550
20180616,557
20180617,510
20180618,573
20180619,536
20180620,566
20180621,530
20180622,605
20180623,428
20180624,496
20180625,500
20180626,417
20180627,457
20180628,425
20180629,408
20180630,390
20180701,490
20180702,457
20180703,424
20180704,388
20180705,365
20180706,398
20180707,499
20180708,392
20180709,394
20180710,448
20180711,377
20180712,358
20180713,311
20180714,326
