Date,Views
20180110,96
20180111,76
20180112,85
20180113,86
20180114,81
20180115,104
20180116,115
20180117,105
20180118,139
20180119,154
20180120,96
20180121,146
20180122,148
20180123,184
20180124,199
20180125,156
20180126,275
20180127,152
20180128,171
20180129,223
20180130,247
20180131,264
20180201,260
20180202,232
20180203,179
20180204,226
20180205,399
20180206,339
20180207,402
20180208,630
20180209,2022
20180210,4301
20180211,1866
20180212,1641
20180213,1174
20180214,836
20180215,794
20180216,771
20180217,683
20180218,679
20180219,556
20180220,516
20180221,526
20180222,549
20180223,469
20180224,339
20180225,507
20180226,734
20180227,194
20180228,105
20180301,103
20180302,68
20180303,48
20180304,48
20180305,43
20180306,35
20180307,31
20180308,37
20180309,29
20180310,26
20180311,31
