Date,Views
20180110,108
20180111,85
20180112,91
20180113,76
20180114,98
20180115,113
20180116,109
20180117,153
20180118,115
20180119,123
20180120,81
20180121,137
20180122,156
20180123,199
20180124,205
20180125,176
20180126,188
20180127,136
20180128,177
20180129,208
20180130,237
20180131,248
20180201,255
20180202,231
20180203,214
20180204,194
20180205,371
20180206,405
20180207,383
20180208,619
20180209,1968
20180210,3152
20180211,1349
20180212,1026
20180213,888
20180214,660
20180215,646
20180216,575
20180217,509
20180218,533
20180219,389
20180220,362
20180221,428
20180222,480
20180223,333
20180224,265
20180225,364
20180226,399
20180227,133
20180228,86
20180301,83
20180302,57
20180303,42
20180304,45
20180305,30
20180306,41
20180307,26
20180308,30
20180309,29
20180310,18
20180311,27
