Date,Views
20180110,63
20180111,56
20180112,45
20180113,59
20180114,49
20180115,66
20180116,81
20180117,89
20180118,77
20180119,74
20180120,79
20180121,96
20180122,117
20180123,116
20180124,146
20180125,130
20180126,112
20180127,115
20180128,118
20180129,154
20180130,153
20180131,155
20180201,172
20180202,143
20180203,150
20180204,129
20180205,251
20180206,222
20180207,249
20180208,377
20180209,1044
20180210,1681
20180211,728
20180212,628
20180213,560
20180214,343
20180215,307
20180216,351
20180217,280
20180218,265
20180219,241
20180220,214
20180221,253
20180222,248
20180223,184
20180224,152
20180225,214
20180226,349
20180227,124
20180228,81
20180301,69
20180302,34
20180303,37
20180304,45
20180305,19
20180306,23
20180307,12
20180308,19
20180309,32
20180310,24
20180311,18
