Date,Views
20180110,161
20180111,154
20180112,111
20180113,130
20180114,126
20180115,129
20180116,150
20180117,153
20180118,154
20180119,144
20180120,126
20180121,180
20180122,175
20180123,179
20180124,191
20180125,217
20180126,242
20180127,151
20180128,189
20180129,258
20180130,258
20180131,236
20180201,281
20180202,280
20180203,206
20180204,246
20180205,496
20180206,483
20180207,552
20180208,880
20180209,4319
20180210,5992
20180211,2859
20180212,2603
20180213,2217
20180214,1503
20180215,1467
20180216,1601
20180217,1421
20180218,1364
20180219,1139
20180220,964
20180221,918
20180222,921
20180223,913
20180224,701
20180225,1150
20180226,1322
20180227,310
20180228,211
20180301,129
20180302,107
20180303,59
20180304,89
20180305,78
20180306,63
20180307,62
20180308,87
20180309,154
20180310,66
20180311,39
