Date,Views
20210623,1385
20210624,1016
20210625,1060
20210626,1040
20210627,1395
20210628,1357
20210629,1180
20210630,1168
20210701,1095
20210702,1289
20210703,1345
20210704,1297
20210705,1278
20210706,1348
20210707,1316
20210708,1338
20210709,1323
20210710,1380
20210711,1405
20210712,1414
20210713,1542
20210714,1599
20210715,1461
20210716,1624
20210717,1869
20210718,2057
20210719,4813
20210720,3862
20210721,4103
20210722,5060
20210723,25872
20210724,20695
20210725,11196
20210726,10039
20210727,9648
20210728,8694
20210729,7797
20210730,8635
20210731,8012
20210801,10455
20210802,9609
20210803,8375
20210804,7589
20210805,8727
20210806,7620
20210807,10539
20210808,16478
20210809,8912
20210810,4850
20210811,3692
20210812,3158
20210813,2829
20210814,2429
20210815,2209
20210816,2039
20210817,1662
20210818,1526
20210819,1611
20210820,1545
20210821,1755
20210822,1542
