Date,Views
20210623,159
20210624,132
20210625,182
20210626,122
20210627,124
20210628,175
20210629,220
20210630,227
20210701,291
20210702,233
20210703,244
20210704,293
20210705,304
20210706,254
20210707,234
20210708,237
20210709,233
20210710,213
20210711,256
20210712,299
20210713,309
20210714,270
20210715,308
20210716,277
20210717,330
20210718,343
20210719,354
20210720,376
20210721,504
20210722,812
20210723,2188
20210724,2044
20210725,1715
20210726,1503
20210727,1499
20210728,1447
20210729,1239
20210730,1324
20210731,1326
20210801,1224
20210802,1103
20210803,1383
20210804,1392
20210805,1072
20210806,756
20210807,1090
20210808,1186
20210809,592
20210810,366
20210811,341
20210812,231
20210813,231
20210814,216
20210815,174
20210816,156
20210817,156
20210818,127
20210819,192
20210820,113
20210821,106
20210822,69
