Date,Views
20210623,35
20210624,32
20210625,41
20210626,32
20210627,51
20210628,47
20210629,60
20210630,48
20210701,37
20210702,57
20210703,572
20210704,79
20210705,51
20210706,105
20210707,51
20210708,48
20210709,28
20210710,47
20210711,42
20210712,37
20210713,47
20210714,45
20210715,61
20210716,40
20210717,60
20210718,76
20210719,76
20210720,75
20210721,126
20210722,140
20210723,331
20210724,365
20210725,304
20210726,222
20210727,200
20210728,175
20210729,161
20210730,136
20210731,124
20210801,124
20210802,122
20210803,110
20210804,99
20210805,104
20210806,108
20210807,159
20210808,248
20210809,152
20210810,75
20210811,60
20210812,52
20210813,57
20210814,39
20210815,38
20210816,31
20210817,29
20210818,31
20210819,23
20210820,17
20210821,24
20210822,21
