Date,Views
20210623,11
20210624,11
20210625,7
20210626,7
20210627,11
20210628,6
20210629,8
20210630,6
20210701,9
20210702,10
20210703,5
20210704,9
20210705,3
20210706,13
20210707,11
20210708,14
20210709,11
20210710,9
20210711,8
20210712,8
20210713,5
20210714,8
20210715,17
20210716,7
20210717,13
20210718,19
20210719,17
20210720,13
20210721,12
20210722,16
20210723,16
20210724,42
20210725,21
20210726,25
20210727,18
20210728,26
20210729,15
20210730,13
20210731,23
20210801,13
20210802,10
20210803,15
20210804,22
20210805,15
20210806,15
20210807,10
20210808,30
20210809,14
20210810,8
20210811,11
20210812,10
20210813,11
20210814,8
20210815,3
20210816,11
20210817,9
20210818,6
20210819,6
20210820,7
20210821,3
20210822,10
