Date,Views
20210623,83
20210624,58
20210625,74
20210626,91
20210627,63
20210628,72
20210629,71
20210630,74
20210701,101
20210702,87
20210703,78
20210704,105
20210705,125
20210706,103
20210707,100
20210708,95
20210709,92
20210710,85
20210711,82
20210712,107
20210713,98
20210714,124
20210715,139
20210716,112
20210717,134
20210718,118
20210719,148
20210720,218
20210721,223
20210722,300
20210723,3248
20210724,1840
20210725,931
20210726,895
20210727,816
20210728,486
20210729,410
20210730,377
20210731,313
20210801,393
20210802,650
20210803,275
20210804,245
20210805,271
20210806,234
20210807,207
20210808,485
20210809,301
20210810,145
20210811,110
20210812,106
20210813,84
20210814,76
20210815,87
20210816,76
20210817,61
20210818,53
20210819,55
20210820,24
20210821,36
20210822,28
