Date,Views
20221022,266
20221023,227
20221024,338
20221025,240
20221026,240
20221027,188
20221028,197
20221029,171
20221030,335
20221031,292
20221101,281
20221102,270
20221103,257
20221104,326
20221105,251
20221106,246
20221107,452
20221108,385
20221109,330
20221110,452
20221111,517
20221112,458
20221113,468
20221114,503
20221115,626
20221116,651
20221117,598
20221118,635
20221119,573
20221120,784
20221121,1057
20221122,1209
20221123,964
20221124,968
20221125,1074
20221126,1363
20221127,1249
20221128,1062
20221129,901
20221130,1447
20221201,1146
20221202,1219
20221203,1659
20221204,1292
20221205,1004
20221206,909
20221207,709
20221208,886
20221209,1344
20221210,965
20221211,729
20221212,622
20221213,858
20221214,909
20221215,752
20221216,633
20221217,705
20221218,1039
20221219,1277
20221220,1030
20221221,967
