Date,Views
20221022,1165
20221023,1526
20221024,2216
20221025,2201
20221026,2792
20221027,2475
20221028,1580
20221029,1669
20221030,2013
20221031,2096
20221101,2180
20221102,2257
20221103,2789
20221104,4037
20221105,4937
20221106,5579
20221107,5351
20221108,7074
20221109,7565
20221110,7287
20221111,6553
20221112,6989
20221113,9410
20221114,11151
20221115,10639
20221116,17005
20221117,14799
20221118,20038
20221119,25009
20221120,56423
20221121,53865
20221122,40482
20221123,32942
20221124,28450
20221125,25005
20221126,21717
20221127,21404
20221128,21590
20221129,21836
20221130,20870
20221201,14098
20221202,12403
20221203,17368
20221204,11432
20221205,10133
20221206,7883
20221207,6109
20221208,5355
20221209,6249
20221210,10219
20221211,6740
20221212,6513
20221213,6273
20221214,7051
20221215,5633
20221216,4384
20221217,4647
20221218,16632
20221219,12231
20221220,5658
20221221,3940
