Date,Views
20221022,22
20221023,10
20221024,16
20221025,17
20221026,11
20221027,15
20221028,7
20221029,19
20221030,11
20221031,11
20221101,9
20221102,15
20221103,17
20221104,12
20221105,11
20221106,17
20221107,19
20221108,17
20221109,24
20221110,27
20221111,18
20221112,18
20221113,34
20221114,39
20221115,23
20221116,24
20221117,29
20221118,16
20221119,24
20221120,20
20221121,18
20221122,33
20221123,17
20221124,10
20221125,18
20221126,16
20221127,10
20221128,16
20221129,21
20221130,19
20221201,11
20221202,11
20221203,11
20221204,13
20221205,11
20221206,13
20221207,23
20221208,19
20221209,12
20221210,15
20221211,16
20221212,13
20221213,18
20221214,19
20221215,25
20221216,16
20221217,9
20221218,17
20221219,17
20221220,15
20221221,15
