Date,Views
20221022,26
20221023,41
20221024,34
20221025,41
20221026,38
20221027,41
20221028,38
20221029,36
20221030,47
20221031,52
20221101,41
20221102,49
20221103,58
20221104,57
20221105,65
20221106,58
20221107,82
20221108,102
20221109,104
20221110,113
20221111,97
20221112,126
20221113,122
20221114,157
20221115,195
20221116,172
20221117,157
20221118,217
20221119,257
20221120,1062
20221121,571
20221122,442
20221123,449
20221124,355
20221125,607
20221126,370
20221127,363
20221128,268
20221129,275
20221130,231
20221201,206
20221202,172
20221203,163
20221204,203
20221205,188
20221206,240
20221207,193
20221208,103
20221209,157
20221210,240
20221211,175
20221212,158
20221213,185
20221214,221
20221215,139
20221216,98
20221217,144
20221218,175
20221219,143
20221220,132
20221221,90
