Date,Views
20221022,609
20221023,408
20221024,290
20221025,280
20221026,474
20221027,328
20221028,870
20221029,618
20221030,349
20221031,248
20221101,243
20221102,282
20221103,212
20221104,216
20221105,684
20221106,426
20221107,337
20221108,310
20221109,359
20221110,5240
20221111,2740
20221112,1555
20221113,1083
20221114,1048
20221115,1193
20221116,1490
20221117,1185
20221118,1112
20221119,1390
20221120,2258
20221121,974
20221122,1253
20221123,3388
20221124,797
20221125,558
20221126,624
20221127,4460
20221128,1406
20221129,519
20221130,428
20221201,1567
20221202,994
20221203,735
20221204,656
20221205,679
20221206,25353
20221207,9000
20221208,2867
20221209,1841
20221210,45225
20221211,21083
20221212,8919
20221213,6150
20221214,12576
20221215,4166
20221216,1699
20221217,3578
20221218,1829
20221219,1213
20221220,1339
20221221,1130
