Date,Views
20220105,463
20220106,483
20220107,524
20220108,524
20220109,424
20220110,471
20220111,502
20220112,464
20220113,415
20220114,426
20220115,453
20220116,480
20220117,426
20220118,517
20220119,545
20220120,492
20220121,503
20220122,459
20220123,509
20220124,453
20220125,499
20220126,567
20220127,633
20220128,611
20220129,594
20220130,610
20220131,617
20220201,628
20220202,639
20220203,803
20220204,1450
20220205,1638
20220206,1410
20220207,1432
20220208,1231
20220209,1146
20220210,1198
20220211,1143
20220212,1098
20220213,1311
20220214,1110
20220215,901
20220216,945
20220217,921
20220218,933
20220219,942
20220220,1421
20220221,1100
20220222,820
20220223,822
20220224,595
20220225,649
20220226,551
20220227,579
20220228,622
20220301,582
20220302,520
20220303,570
20220304,565
20220305,584
20220306,561
