Date,Views
20161003,72
20161004,61
20161005,98
20161006,1449
20161007,1271
20161008,186
20161009,282
20161010,361
20161011,772
20161012,374
20161013,70
20161014,196
20161015,391
20161016,644
20161017,109
20161018,733
20161019,623
20161020,1635
20161021,3843
20161022,224
20161023,212
20161024,100
20161025,85
20161026,1685
20161027,236
20161028,95
20161029,7299
20161030,3507
20161031,7678
20161101,367
20161102,3642
20161103,9092
20161104,325
20161105,187
20161106,169
20161107,108
20161108,96
20161109,70
20161110,86
20161111,73
20161112,50
20161113,68
20161114,59
20161115,63
20161116,52
20161117,58
20161118,60
20161119,49
20161120,37
20161121,52
20161122,38
20161123,40
20161124,59
20161125,45
20161126,70
20161127,49
20161128,64
20161129,62
20161130,52
20161201,89
20161202,68
