Date,Views
20161003,52
20161004,64
20161005,51
20161006,65
20161007,67
20161008,55
20161009,161
20161010,49
20161011,92
20161012,104
20161013,84
20161014,66
20161015,78
20161016,132
20161017,104
20161018,58
20161019,96
20161020,144
20161021,134
20161022,81
20161023,180
20161024,97
20161025,150
20161026,222
20161027,379
20161028,138
20161029,162
20161030,143
20161031,152
20161101,93
20161102,202
20161103,368
20161104,263
20161105,189
20161106,154
20161107,131
20161108,101
20161109,65
20161110,50
20161111,58
20161112,77
20161113,83
20161114,74
20161115,123
20161116,94
20161117,87
20161118,81
20161119,68
20161120,60
20161121,76
20161122,74
20161123,68
20161124,52
20161125,69
20161126,69
20161127,56
20161128,67
20161129,61
20161130,61
20161201,55
20161202,121
