Date,Views
20161003,47
20161004,45
20161005,44
20161006,62
20161007,66
20161008,52
20161009,100
20161010,37
20161011,61
20161012,105
20161013,40
20161014,42
20161015,53
20161016,126
20161017,94
20161018,44
20161019,51
20161020,101
20161021,74
20161022,47
20161023,134
20161024,94
20161025,74
20161026,170
20161027,110
20161028,61
20161029,281
20161030,84
20161031,127
20161101,52
20161102,95
20161103,717
20161104,182
20161105,91
20161106,92
20161107,100
20161108,58
20161109,46
20161110,45
20161111,57
20161112,33
20161113,35
20161114,46
20161115,60
20161116,40
20161117,37
20161118,57
20161119,51
20161120,37
20161121,38
20161122,29
20161123,22
20161124,25
20161125,28
20161126,37
20161127,38
20161128,39
20161129,40
20161130,33
20161201,26
20161202,28
