Date,Views
20161003,365
20161004,190
20161005,195
20161006,168
20161007,250
20161008,225
20161009,271
20161010,245
20161011,220
20161012,224
20161013,196
20161014,204
20161015,255
20161016,229
20161017,276
20161018,244
20161019,207
20161020,294
20161021,232
20161022,293
20161023,413
20161024,305
20161025,225
20161026,226
20161027,230
20161028,222
20161029,292
20161030,339
20161031,290
20161101,238
20161102,229
20161103,245
20161104,215
20161105,586
20161106,282
20161107,278
20161108,173
20161109,164
20161110,201
20161111,209
20161112,199
20161113,271
20161114,284
20161115,194
20161116,176
20161117,191
20161118,210
20161119,270
20161120,228
20161121,301
20161122,190
20161123,186
20161124,254
20161125,359
20161126,324
20161127,346
20161128,342
20161129,231
20161130,200
20161201,217
20161202,250
