Date,Views
20220706,92
20220707,112
20220708,80
20220709,85
20220710,103
20220711,95
20220712,83
20220713,80
20220714,65
20220715,81
20220716,67
20220717,120
20220718,91
20220719,89
20220720,81
20220721,86
20220722,78
20220723,80
20220724,100
20220725,83
20220726,91
20220727,85
20220728,91
20220729,107
20220730,102
20220731,97
20220801,76
20220802,97
20220803,89
20220804,80
20220805,99
20220806,77
20220807,72
20220808,84
20220809,76
20220810,74
20220811,69
20220812,75
20220813,97
20220814,80
20220815,72
20220816,110
20220817,92
20220818,76
20220819,76
20220820,95
20220821,75
20220822,82
20220823,64
20220824,103
20220825,61
20220826,90
20220827,90
20220828,89
20220829,93
20220830,133
20220831,58
20220901,81
20220902,59
20220903,98
20220904,87
