Date,Views
20220706,9
20220707,16
20220708,6
20220709,3
20220710,8
20220711,11
20220712,13
20220713,5
20220714,10
20220715,8
20220716,6
20220717,6
20220718,4
20220719,9
20220720,7
20220721,6
20220722,8
20220723,6
20220724,6
20220725,5
20220726,5
20220727,7
20220728,7
20220729,15
20220730,5
20220731,5
20220801,7
20220802,6
20220803,6
20220804,8
20220805,9
20220806,6
20220807,3
20220808,4
20220809,12
20220810,18
20220811,14
20220812,18
20220813,12
20220814,8
20220815,3
20220816,6
20220817,3
20220818,7
20220819,12
20220820,11
20220821,4
20220822,8
20220823,7
20220824,3
20220825,5
20220826,21
20220827,6
20220828,8
20220829,7
20220830,3
20220831,8
20220901,14
20220902,3
20220903,4
20220904,13
