Date,Views
20220706,141
20220707,113
20220708,118
20220709,98
20220710,84
20220711,88
20220712,104
20220713,77
20220714,86
20220715,88
20220716,89
20220717,73
20220718,96
20220719,117
20220720,105
20220721,87
20220722,69
20220723,65
20220724,67
20220725,82
20220726,62
20220727,94
20220728,100
20220729,129
20220730,102
20220731,134
20220801,115
20220802,116
20220803,108
20220804,108
20220805,129
20220806,79
20220807,91
20220808,93
20220809,77
20220810,133
20220811,131
20220812,151
20220813,87
20220814,86
20220815,86
20220816,250
20220817,174
20220818,156
20220819,138
20220820,138
20220821,107
20220822,112
20220823,129
20220824,125
20220825,120
20220826,109
20220827,90
20220828,111
20220829,123
20220830,92
20220831,102
20220901,77
20220902,114
20220903,105
20220904,90
