Date,Views
20220706,25
20220707,32
20220708,28
20220709,22
20220710,15
20220711,16
20220712,33
20220713,12
20220714,23
20220715,18
20220716,30
20220717,19
20220718,21
20220719,22
20220720,20
20220721,15
20220722,38
20220723,26
20220724,34
20220725,26
20220726,31
20220727,28
20220728,52
20220729,75
20220730,74
20220731,79
20220801,76
20220802,51
20220803,36
20220804,38
20220805,34
20220806,203
20220807,65
20220808,159
20220809,104
20220810,181
20220811,67
20220812,159
20220813,84
20220814,87
20220815,79
20220816,179
20220817,83
20220818,96
20220819,94
20220820,57
20220821,28
20220822,40
20220823,20
20220824,24
20220825,27
20220826,12
20220827,21
20220828,11
20220829,15
20220830,10
20220831,18
20220901,13
20220902,11
20220903,27
20220904,19
