Date,Views
20220706,83
20220707,76
20220708,67
20220709,73
20220710,80
20220711,154
20220712,94
20220713,86
20220714,79
20220715,74
20220716,92
20220717,92
20220718,68
20220719,73
20220720,73
20220721,62
20220722,77
20220723,67
20220724,67
20220725,57
20220726,78
20220727,82
20220728,80
20220729,72
20220730,61
20220731,110
20220801,86
20220802,77
20220803,73
20220804,53
20220805,117
20220806,61
20220807,68
20220808,66
20220809,80
20220810,67
20220811,72
20220812,56
20220813,48
20220814,76
20220815,71
20220816,61
20220817,73
20220818,67
20220819,125
20220820,90
20220821,79
20220822,60
20220823,64
20220824,80
20220825,83
20220826,85
20220827,72
20220828,77
20220829,76
20220830,76
20220831,90
20220901,75
20220902,78
20220903,62
20220904,75
