Date,Views
20220706,41
20220707,39
20220708,42
20220709,43
20220710,47
20220711,36
20220712,44
20220713,54
20220714,40
20220715,58
20220716,36
20220717,43
20220718,47
20220719,41
20220720,46
20220721,41
20220722,36
20220723,44
20220724,40
20220725,39
20220726,44
20220727,34
20220728,42
20220729,89
20220730,59
20220731,45
20220801,57
20220802,71
20220803,61
20220804,60
20220805,91
20220806,73
20220807,62
20220808,86
20220809,64
20220810,57
20220811,55
20220812,61
20220813,57
20220814,53
20220815,37
20220816,40
20220817,47
20220818,33
20220819,59
20220820,70
20220821,34
20220822,46
20220823,38
20220824,47
20220825,29
20220826,25
20220827,41
20220828,28
20220829,32
20220830,30
20220831,42
20220901,31
20220902,30
20220903,30
20220904,31
