Date,Views
20170727,15412
20170728,10838
20170729,8452
20170730,8985
20170731,8292
20170801,9443
20170802,12616
20170803,45905
20170804,28325
20170805,14419
20170806,12725
20170807,11850
20170808,11099
20170809,11740
20170810,10460
20170811,13382
20170812,9048
20170813,9034
20170814,8191
20170815,8112
20170816,8986
20170817,8872
20170818,8600
20170819,8784
20170820,12045
20170821,8218
20170822,9574
20170823,8651
20170824,8855
20170825,9412
20170826,11908
20170827,11094
20170828,8949
20170829,8957
20170830,8408
20170831,8724
20170901,10133
20170902,11773
20170903,11499
20170904,12676
20170905,11166
20170906,12226
20170907,22128
20170908,71873
20170909,13575
20170910,19734
20170911,14975
20170912,13762
20170913,8144
20170914,9222
20170915,10700
20170916,9749
20170917,36993
20170918,25074
20170919,17325
20170920,12166
20170921,11093
20170922,12254
20170923,10807
20170924,32249
20170925,24301
