Date,Views
20170727,132
20170728,152
20170729,134
20170730,220
20170731,182
20170801,150
20170802,887
20170803,205
20170804,166
20170805,127
20170806,125
20170807,142
20170808,125
20170809,228
20170810,118
20170811,150
20170812,156
20170813,129
20170814,153
20170815,164
20170816,177
20170817,148
20170818,208
20170819,193
20170820,174
20170821,256
20170822,272
20170823,355
20170824,509
20170825,660
20170826,1317
20170827,6742
20170828,2418
20170829,1225
20170830,773
20170831,567
20170901,351
20170902,293
20170903,255
20170904,219
20170905,186
20170906,188
20170907,297
20170908,258
20170909,186
20170910,172
20170911,183
20170912,121
20170913,131
20170914,135
20170915,169
20170916,142
20170917,177
20170918,181
20170919,135
20170920,106
20170921,127
20170922,103
20170923,98
20170924,85
20170925,75
