Date,Views
20170727,900
20170728,712
20170729,511
20170730,537
20170731,643
20170801,662
20170802,714
20170803,671
20170804,598
20170805,444
20170806,433
20170807,650
20170808,869
20170809,765
20170810,732
20170811,728
20170812,533
20170813,484
20170814,745
20170815,742
20170816,779
20170817,807
20170818,679
20170819,797
20170820,835
20170821,813
20170822,740
20170823,719
20170824,674
20170825,598
20170826,450
20170827,417
20170828,579
20170829,666
20170830,745
20170831,660
20170901,594
20170902,408
20170903,684
20170904,614
20170905,756
20170906,721
20170907,669
20170908,595
20170909,424
20170910,423
20170911,660
20170912,648
20170913,645
20170914,705
20170915,574
20170916,423
20170917,461
20170918,706
20170919,673
20170920,742
20170921,803
20170922,645
20170923,452
20170924,543
20170925,744
