Date,Views
20170727,4460
20170728,4544
20170729,5880
20170730,4473
20170731,4313
20170801,4423
20170802,4276
20170803,3757
20170804,3617
20170805,3566
20170806,3783
20170807,4150
20170808,3839
20170809,4435
20170810,3806
20170811,3948
20170812,3807
20170813,4649
20170814,4847
20170815,4894
20170816,4691
20170817,4086
20170818,4080
20170819,4462
20170820,4774
20170821,6653
20170822,4738
20170823,5442
20170824,8904
20170825,6992
20170826,5146
20170827,5636
20170828,4466
20170829,4661
20170830,4650
20170831,4270
20170901,3863
20170902,3850
20170903,4048
20170904,3837
20170905,4993
20170906,8136
20170907,4656
20170908,4347
20170909,4157
20170910,4172
20170911,3902
20170912,4810
20170913,32533
20170914,10973
20170915,7502
20170916,6434
20170917,6221
20170918,7924
20170919,7829
20170920,9007
20170921,5226
20170922,6113
20170923,5217
20170924,5190
20170925,5588
