Date,Views
20220102,21
20220103,21
20220104,10
20220105,17
20220106,20
20220107,28
20220108,17
20220109,15
20220110,18
20220111,26
20220112,20
20220113,38
20220114,22
20220115,21
20220116,21
20220117,18
20220118,16
20220119,29
20220120,53
20220121,33
20220122,18
20220123,13
20220124,26
20220125,14
20220126,24
20220127,25
20220128,13
20220129,26
20220130,21
20220131,16
20220201,12
20220202,23
20220203,20
20220204,25
20220205,30
20220206,16
20220207,48
20220208,38
20220209,39
20220210,19
20220211,21
20220212,23
20220213,42
20220214,21
20220215,29
20220216,23
20220217,20
20220218,22
20220219,22
20220220,32
20220221,28
20220222,28
20220223,37
20220224,31
20220225,31
20220226,20
20220227,33
20220228,18
20220301,24
20220302,28
20220303,20
