Date,Views
20220102,162
20220103,181
20220104,213
20220105,295
20220106,289
20220107,271
20220108,164
20220109,231
20220110,344
20220111,393
20220112,398
20220113,385
20220114,619
20220115,226
20220116,247
20220117,397
20220118,506
20220119,450
20220120,542
20220121,503
20220122,311
20220123,273
20220124,482
20220125,520
20220126,643
20220127,702
20220128,729
20220129,386
20220130,420
20220131,1388
20220201,2104
20220202,2221
20220203,2038
20220204,2171
20220205,1061
20220206,1121
20220207,2237
20220208,3852
20220209,2834
20220210,2273
20220211,1909
20220212,785
20220213,5583
20220214,2158
20220215,2351
20220216,2261
20220217,2428
20220218,1803
20220219,776
20220220,828
20220221,1223
20220222,1879
20220223,1964
20220224,1811
20220225,1555
20220226,711
20220227,812
20220228,1562
20220301,933
20220302,730
20220303,658
