Date,Views
20220102,117
20220103,112
20220104,127
20220105,178
20220106,136
20220107,160
20220108,163
20220109,81
20220110,148
20220111,240
20220112,206
20220113,175
20220114,157
20220115,132
20220116,155
20220117,140
20220118,149
20220119,147
20220120,169
20220121,251
20220122,214
20220123,169
20220124,236
20220125,691
20220126,1085
20220127,417
20220128,1200
20220129,279
20220130,242
20220131,182
20220201,175
20220202,141
20220203,148
20220204,149
20220205,150
20220206,176
20220207,170
20220208,127
20220209,126
20220210,155
20220211,117
20220212,151
20220213,150
20220214,106
20220215,157
20220216,209
20220217,191
20220218,107
20220219,128
20220220,123
20220221,123
20220222,109
20220223,158
20220224,118
20220225,104
20220226,135
20220227,131
20220228,128
20220301,104
20220302,109
20220303,139
