Date,Views
20220102,61
20220103,50
20220104,46
20220105,50
20220106,51
20220107,57
20220108,49
20220109,49
20220110,53
20220111,56
20220112,76
20220113,107
20220114,85
20220115,59
20220116,39
20220117,46
20220118,72
20220119,49
20220120,50
20220121,65
20220122,40
20220123,66
20220124,39
20220125,288
20220126,121
20220127,59
20220128,71
20220129,65
20220130,66
20220131,54
20220201,77
20220202,64
20220203,55
20220204,76
20220205,54
20220206,86
20220207,103
20220208,64
20220209,77
20220210,85
20220211,52
20220212,60
20220213,74
20220214,58
20220215,60
20220216,52
20220217,51
20220218,64
20220219,65
20220220,83
20220221,60
20220222,94
20220223,59
20220224,67
20220225,65
20220226,68
20220227,53
20220228,49
20220301,67
20220302,31
20220303,48
