Date,Views
20220102,6
20220103,12
20220104,12
20220105,10
20220106,17
20220107,12
20220108,15
20220109,18
20220110,14
20220111,13
20220112,29
20220113,17
20220114,12
20220115,9
20220116,15
20220117,7
20220118,13
20220119,9
20220120,12
20220121,13
20220122,23
20220123,13
20220124,12
20220125,19
20220126,19
20220127,16
20220128,26
20220129,26
20220130,18
20220131,15
20220201,15
20220202,16
20220203,13
20220204,15
20220205,20
20220206,20
20220207,16
20220208,11
20220209,9
20220210,16
20220211,7
20220212,12
20220213,15
20220214,20
20220215,13
20220216,15
20220217,15
20220218,13
20220219,15
20220220,19
20220221,13
20220222,24
20220223,8
20220224,15
20220225,17
20220226,18
20220227,10
20220228,25
20220301,16
20220302,22
20220303,13
