Date,Views
20220102,9
20220103,8
20220104,6
20220105,5
20220106,5
20220107,10
20220108,14
20220109,13
20220110,12
20220111,12
20220112,8
20220113,10
20220114,10
20220115,9
20220116,3
20220117,6
20220118,13
20220119,6
20220120,4
20220121,10
20220122,35
20220123,30
20220124,10
20220125,4
20220126,9
20220127,7
20220128,9
20220129,13
20220130,11
20220131,9
20220201,7
20220202,5
20220203,7
20220204,12
20220205,7
20220206,11
20220207,14
20220208,5
20220209,7
20220210,8
20220211,7
20220212,14
20220213,9
20220214,11
20220215,9
20220216,15
20220217,5
20220218,12
20220219,18
20220220,10
20220221,12
20220222,10
20220223,8
20220224,15
20220225,19
20220226,12
20220227,11
20220228,6
20220301,16
20220302,9
20220303,4
