Date,Views
20220102,8
20220103,6
20220104,8
20220105,11
20220106,6
20220107,10
20220108,11
20220109,10
20220110,12
20220111,13
20220112,7
20220113,10
20220114,27
20220115,12
20220116,10
20220117,6
20220118,7
20220119,17
20220120,11
20220121,7
20220122,13
20220123,18
20220124,9
20220125,6
20220126,16
20220127,12
20220128,15
20220129,8
20220130,22
20220131,7
20220201,17
20220202,9
20220203,12
20220204,21
20220205,21
20220206,12
20220207,12
20220208,14
20220209,15
20220210,12
20220211,12
20220212,16
20220213,27
20220214,14
20220215,13
20220216,8
20220217,13
20220218,12
20220219,9
20220220,7
20220221,11
20220222,16
20220223,10
20220224,14
20220225,13
20220226,15
20220227,13
20220228,9
20220301,29
20220302,11
20220303,15
