Date,Views
20220102,253
20220103,175
20220104,150
20220105,190
20220106,167
20220107,191
20220108,216
20220109,173
20220110,145
20220111,140
20220112,153
20220113,133
20220114,161
20220115,174
20220116,193
20220117,155
20220118,135
20220119,173
20220120,152
20220121,170
20220122,183
20220123,172
20220124,203
20220125,155
20220126,162
20220127,187
20220128,152
20220129,183
20220130,219
20220131,177
20220201,162
20220202,180
20220203,197
20220204,163
20220205,235
20220206,178
20220207,198
20220208,153
20220209,158
20220210,189
20220211,170
20220212,225
20220213,243
20220214,174
20220215,173
20220216,176
20220217,173
20220218,160
20220219,191
20220220,195
20220221,205
20220222,166
20220223,280
20220224,176
20220225,240
20220226,211
20220227,237
20220228,173
20220301,192
20220302,194
20220303,168
