Date,Views
20220102,12
20220103,15
20220104,22
20220105,10
20220106,17
20220107,25
20220108,20
20220109,17
20220110,21
20220111,10
20220112,18
20220113,31
20220114,27
20220115,17
20220116,20
20220117,18
20220118,16
20220119,15
20220120,15
20220121,9
20220122,18
20220123,14
20220124,19
20220125,13
20220126,28
20220127,16
20220128,20
20220129,23
20220130,35
20220131,13
20220201,17
20220202,17
20220203,15
20220204,40
20220205,34
20220206,22
20220207,20
20220208,16
20220209,28
20220210,20
20220211,17
20220212,24
20220213,20
20220214,17
20220215,19
20220216,17
20220217,18
20220218,20
20220219,20
20220220,14
20220221,15
20220222,18
20220223,15
20220224,18
20220225,17
20220226,15
20220227,22
20220228,18
20220301,11
20220302,23
20220303,16
