Date,Views
20220102,24
20220103,31
20220104,22
20220105,37
20220106,29
20220107,29
20220108,33
20220109,28
20220110,30
20220111,21
20220112,26
20220113,26
20220114,33
20220115,33
20220116,29
20220117,26
20220118,33
20220119,35
20220120,33
20220121,33
20220122,32
20220123,29
20220124,20
20220125,29
20220126,45
20220127,31
20220128,27
20220129,38
20220130,36
20220131,17
20220201,24
20220202,27
20220203,24
20220204,32
20220205,32
20220206,38
20220207,28
20220208,32
20220209,47
20220210,28
20220211,31
20220212,27
20220213,46
20220214,31
20220215,30
20220216,25
20220217,30
20220218,25
20220219,41
20220220,41
20220221,34
20220222,22
20220223,17
20220224,34
20220225,25
20220226,28
20220227,38
20220228,36
20220301,17
20220302,27
20220303,27
