Date,Views
20191227,538
20191228,482
20191229,534
20191230,531
20191231,389
20200101,384
20200102,669
20200103,511
20200104,612
20200105,604
20200106,718
20200107,581
20200108,681
20200109,424
20200110,391
20200111,671
20200112,667
20200113,461
20200114,606
20200115,394
20200116,436
20200117,302
20200118,314
20200119,495
20200120,386
20200121,719
20200122,398
20200123,438
20200124,440
20200125,272
20200126,530
20200127,1087
20200128,940
20200129,1120
20200130,803
20200131,629
20200201,791
20200202,606
20200203,328
20200204,344
20200205,390
20200206,462
20200207,433
20200208,321
20200209,434
20200210,360
20200211,335
20200212,412
20200213,438
20200214,432
20200215,308
20200216,364
20200217,453
20200218,355
20200219,394
20200220,370
20200221,387
20200222,415
20200223,501
20200224,727
20200225,427
