Date,Views
20191227,421
20191228,410
20191229,453
20191230,402
20191231,434
20200101,327
20200102,447
20200103,405
20200104,496
20200105,508
20200106,460
20200107,424
20200108,534
20200109,385
20200110,365
20200111,493
20200112,523
20200113,412
20200114,364
20200115,353
20200116,397
20200117,354
20200118,392
20200119,482
20200120,440
20200121,339
20200122,377
20200123,446
20200124,457
20200125,453
20200126,593
20200127,671
20200128,735
20200129,650
20200130,1487
20200131,848
20200201,1011
20200202,786
20200203,541
20200204,615
20200205,408
20200206,517
20200207,508
20200208,909
20200209,600
20200210,603
20200211,507
20200212,485
20200213,464
20200214,399
20200215,429
20200216,474
20200217,441
20200218,452
20200219,497
20200220,468
20200221,408
20200222,431
20200223,415
20200224,438
20200225,391
