Date,Views
20191227,24
20191228,17
20191229,14
20191230,26
20191231,19
20200101,19
20200102,14
20200103,22
20200104,17
20200105,24
20200106,21
20200107,20
20200108,18
20200109,25
20200110,32
20200111,23
20200112,10
20200113,13
20200114,20
20200115,19
20200116,33
20200117,18
20200118,19
20200119,21
20200120,18
20200121,19
20200122,13
20200123,22
20200124,12
20200125,19
20200126,928
20200127,2149
20200128,911
20200129,639
20200130,383
20200131,234
20200201,243
20200202,194
20200203,126
20200204,107
20200205,71
20200206,82
20200207,79
20200208,67
20200209,52
20200210,59
20200211,49
20200212,59
20200213,44
20200214,55
20200215,38
20200216,61
20200217,67
20200218,52
20200219,28
20200220,27
20200221,32
20200222,35
20200223,31
20200224,62
20200225,91
