Date,Views
20191227,855
20191228,1741
20191229,1687
20191230,1442
20191231,1551
20200101,2072
20200102,1349
20200103,875
20200104,1437
20200105,1762
20200106,1379
20200107,1325
20200108,1020
20200109,977
20200110,1059
20200111,1276
20200112,1521
20200113,1165
20200114,1096
20200115,942
20200116,942
20200117,979
20200118,1449
20200119,1544
20200120,1422
20200121,1143
20200122,919
20200123,854
20200124,912
20200125,1006
20200126,1435
20200127,1966
20200128,1391
20200129,1039
20200130,1086
20200131,1018
20200201,1514
20200202,1560
20200203,1187
20200204,1192
20200205,855
20200206,941
20200207,929
20200208,1431
20200209,1576
20200210,1157
20200211,1537
20200212,1172
20200213,1091
20200214,1294
20200215,1713
20200216,1884
20200217,1721
20200218,1330
20200219,910
20200220,908
20200221,900
20200222,1151
20200223,1955
20200224,1268
20200225,1226
