Date,Views
20160505,836
20160506,954
20160507,766
20160508,698
20160509,1234
20160510,1189
20160511,1056
20160512,899
20160513,817
20160514,818
20160515,640
20160516,830
20160517,922
20160518,919
20160519,941
20160520,867
20160521,562
20160522,626
20160523,755
20160524,870
20160525,1176
20160526,931
20160527,790
20160528,580
20160529,599
20160530,645
20160531,719
20160601,1005
20160602,1012
20160603,944
20160604,853
20160605,674
20160606,916
20160607,1196
20160608,2763
20160609,1207
20160610,1116
20160611,854
20160612,822
20160613,717
20160614,1095
20160615,817
20160616,766
20160617,741
20160618,543
20160619,692
20160620,761
20160621,647
20160622,619
20160623,793
20160624,1174
20160625,596
20160626,1133
20160627,1303
20160628,9892
20160629,3615
20160630,1466
20160701,1037
20160702,798
20160703,733
20160704,5769
