Date,Views
20150706,119
20150707,114
20150708,102
20150709,93
20150710,128
20150711,119
20150712,102
20150713,90
20150714,88
20150715,107
20150716,78
20150717,149
20150718,99
20150719,93
20150720,95
20150721,88
20150722,78
20150723,105
20150724,104
20150725,93
20150726,104
20150727,124
20150728,187
20150729,147
20150730,170
20150731,270
20150801,212
20150802,164
20150803,145
20150804,115
20150805,147
20150806,121
20150807,130
20150808,157
20150809,137
20150810,105
20150811,119
20150812,105
20150813,113
20150814,114
20150815,102
20150816,108
20150817,108
20150818,81
20150819,77
20150820,106
20150821,200
20150822,559
20150823,120
20150824,116
20150825,103
20150826,103
20150827,105
20150828,107
20150829,122
20150830,96
20150831,69
20150901,102
20150902,120
20150903,107
20150904,118
