Date,Views
20150706,8
20150707,7
20150708,11
20150709,4
20150710,11
20150711,14
20150712,14
20150713,21
20150714,9
20150715,9
20150716,7
20150717,12
20150718,15
20150719,10
20150720,14
20150721,13
20150722,11
20150723,17
20150724,9
20150725,6
20150726,8
20150727,12
20150728,20
20150729,5
20150730,8
20150731,13
20150801,19
20150802,13
20150803,6
20150804,9
20150805,7
20150806,12
20150807,5
20150808,19
20150809,14
20150810,12
20150811,8
20150812,11
20150813,7
20150814,11
20150815,8
20150816,6
20150817,4
20150818,12
20150819,5
20150820,9
20150821,6
20150822,10
20150823,8
20150824,11
20150825,6
20150826,8
20150827,6
20150828,7
20150829,12
20150830,19
20150831,70
20150901,54
20150902,31
20150903,22
20150904,16
