Date,Views
20150706,15
20150707,5
20150708,11
20150709,6
20150710,14
20150711,6
20150712,18
20150713,11
20150714,7
20150715,14
20150716,12
20150717,4
20150718,2
20150719,7
20150720,15
20150721,10
20150722,5
20150723,14
20150724,9
20150725,7
20150726,10
20150727,9
20150728,14
20150729,16
20150730,10
20150731,7
20150801,11
20150802,12
20150803,14
20150804,12
20150805,21
20150806,21
20150807,7
20150808,10
20150809,12
20150810,16
20150811,10
20150812,18
20150813,8
20150814,10
20150815,14
20150816,16
20150817,14
20150818,11
20150819,11
20150820,14
20150821,10
20150822,12
20150823,14
20150824,17
20150825,8
20150826,8
20150827,16
20150828,8
20150829,20
20150830,11
20150831,4
20150901,8
20150902,5
20150903,37
20150904,11
