Date,Views
20150706,15
20150707,10
20150708,12
20150709,21
20150710,13
20150711,13
20150712,9
20150713,22
20150714,25
20150715,13
20150716,11
20150717,30
20150718,11
20150719,13
20150720,23
20150721,13
20150722,12
20150723,18
20150724,8
20150725,9
20150726,7
20150727,11
20150728,17
20150729,15
20150730,11
20150731,13
20150801,11
20150802,7
20150803,9
20150804,12
20150805,12
20150806,17
20150807,16
20150808,16
20150809,11
20150810,23
20150811,22
20150812,10
20150813,7
20150814,10
20150815,12
20150816,22
20150817,14
20150818,16
20150819,12
20150820,13
20150821,27
20150822,14
20150823,18
20150824,16
20150825,12
20150826,24
20150827,13
20150828,12
20150829,14
20150830,18
20150831,16
20150901,17
20150902,12
20150903,22
20150904,14
