Date,Views
20150706,140
20150707,154
20150708,161
20150709,136
20150710,136
20150711,191
20150712,147
20150713,151
20150714,109
20150715,107
20150716,101
20150717,112
20150718,119
20150719,107
20150720,123
20150721,108
20150722,105
20150723,117
20150724,177
20150725,153
20150726,130
20150727,182
20150728,225
20150729,185
20150730,204
20150731,414
20150801,262
20150802,221
20150803,202
20150804,214
20150805,222
20150806,141
20150807,137
20150808,136
20150809,117
20150810,111
20150811,137
20150812,123
20150813,103
20150814,116
20150815,86
20150816,109
20150817,92
20150818,104
20150819,184
20150820,113
20150821,111
20150822,132
20150823,165
20150824,162
20150825,122
20150826,103
20150827,157
20150828,145
20150829,147
20150830,146
20150831,110
20150901,93
20150902,111
20150903,112
20150904,525
