Date,Views
20150706,225
20150707,184
20150708,240
20150709,299
20150710,289
20150711,295
20150712,255
20150713,307
20150714,291
20150715,224
20150716,227
20150717,208
20150718,204
20150719,219
20150720,184
20150721,187
20150722,211
20150723,181
20150724,200
20150725,266
20150726,202
20150727,156
20150728,164
20150729,144
20150730,124
20150731,152
20150801,141
20150802,155
20150803,150
20150804,130
20150805,167
20150806,170
20150807,168
20150808,197
20150809,170
20150810,175
20150811,151
20150812,260
20150813,167
20150814,182
20150815,180
20150816,207
20150817,248
20150818,209
20150819,201
20150820,215
20150821,162
20150822,171
20150823,163
20150824,183
20150825,215
20150826,175
20150827,199
20150828,180
20150829,227
20150830,223
20150831,176
20150901,151
20150902,176
20150903,217
20150904,167
